name,type,flavors,positive_effects,negative_effects,ailment,search
Afpak,hybrid,"Earthy, Chemical, Pine","Relaxed, Hungry, Happy, Sleepy",Dizzy,"Depression, Insomnia, Pain, Stress, Lack of Appetite","Afpak,Relaxed, Hungry, Happy, Sleepy,Earthy, Chemical, Pine,Depression, Insomnia, Pain, Stress, Lack of Appetite"
African,sativa,"Spicy/Herbal, Pungent, Earthy","Euphoric, Happy, Creative, Energetic, Talkative",Dry Mouth,"Depression, Pain, Stress, Lack of Appetite, Nausea, Headache","African,Euphoric, Happy, Creative, Energetic, Talkative,Spicy/Herbal, Pungent, Earthy,Depression, Pain, Stress, Lack of Appetite, Nausea, Headache"
Afternoon Delight,hybrid,"Pepper, Flowery, Pine","Relaxed, Hungry, Euphoric, Uplifted, Tingly","Dizzy, Dry Mouth, Paranoid","Depression, Insomnia, Pain, Stress, Cramps, Headache","Afternoon Delight,Relaxed, Hungry, Euphoric, Uplifted, Tingly,Pepper, Flowery, Pine,Depression, Insomnia, Pain, Stress, Cramps, Headache"
Afwreck,hybrid,"Pine, Earthy, Flowery","Relaxed, Happy, Creative, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Pain, Stress, Headache, Fatigue, Headaches, Muscle Spasms","Afwreck,Relaxed, Happy, Creative, Uplifted, Sleepy,Pine, Earthy, Flowery,Pain, Stress, Headache, Fatigue, Headaches, Muscle Spasms"
Agent Orange,hybrid,"Citrus, Orange, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Nausea, Headache, Headaches","Agent Orange,Relaxed, Euphoric, Happy, Energetic, Uplifted,Citrus, Orange, Sweet,Depression, Pain, Stress, Nausea, Headache, Headaches"
Agent Tangie,hybrid,"Skunk, Pepper, Citrus","Euphoric, Happy, Creative, Uplifted, Focused","Dry Mouth, Dry Eyes","Depression, Stress, Cramps, Fatigue, Eye Pressure","Agent Tangie,Euphoric, Happy, Creative, Uplifted, Focused,Skunk, Pepper, Citrus,Depression, Stress, Cramps, Fatigue, Eye Pressure"
Alaska,sativa,"Earthy, Woody, Pungent","Relaxed, Euphoric, Happy, Energetic, Focused","Dizzy, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headaches","Alaska,Relaxed, Euphoric, Happy, Energetic, Focused,Earthy, Woody, Pungent,Depression, Pain, Stress, Lack of Appetite, Headaches"
Alaska Thunder Grape,hybrid,"Grape, Pepper, Skunk","Relaxed, Euphoric, Creative, Tingly, Focused",Not Available,"Pain, Stress, Eye Pressure","Alaska Thunder Grape,Relaxed, Euphoric, Creative, Tingly, Focused,Grape, Pepper, Skunk,Pain, Stress, Eye Pressure"
Alaskan Ice,sativa,"Earthy, Pine, Minty","Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Fatigue, Headaches","Alaskan Ice,Euphoric, Happy, Creative, Energetic, Uplifted,Earthy, Pine, Minty,Depression, Pain, Stress, Fatigue, Headaches"
Alaskan Thunder Fuck,sativa,"Earthy, Woody, Pine","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue","Alaskan Thunder Fuck,Relaxed, Euphoric, Happy, Energetic, Uplifted,Earthy, Woody, Pine,Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue"
Albert Walker,hybrid,"Earthy, Pine, Skunk","Relaxed, Hungry, Euphoric, Happy, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms","Albert Walker,Relaxed, Hungry, Euphoric, Happy, Focused,Earthy, Pine, Skunk,Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms"
Alchemy,hybrid,"Cheese, Chemical, Sweet","Relaxed, Hungry, Uplifted, Tingly, Sleepy",Not Available,"Insomnia, Stress, Fatigue, Headaches, Eye Pressure","Alchemy,Relaxed, Hungry, Uplifted, Tingly, Sleepy,Cheese, Chemical, Sweet,Insomnia, Stress, Fatigue, Headaches, Eye Pressure"
Alf,hybrid,"Diesel, Pungent, Tropical","Relaxed, Euphoric, Happy, Creative, Giggly",Dry Mouth,"Depression, Insomnia, Stress, Muscle Spasms","Alf,Relaxed, Euphoric, Happy, Creative, Giggly,Diesel, Pungent, Tropical,Depression, Insomnia, Stress, Muscle Spasms"
Alice in Wonderland,sativa,"Citrus, Grapefruit, Earthy","Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Stress, Lack of Appetite, Fatigue, Muscle Spasms","Alice in Wonderland,Relaxed, Euphoric, Happy, Uplifted, Focused,Citrus, Grapefruit, Earthy,Depression, Stress, Lack of Appetite, Fatigue, Muscle Spasms"
Alien Abduction,hybrid,"Earthy, Nutty, Lemon","Relaxed, Happy, Creative, Focused","Dry Mouth, Dry Eyes","Depression, Insomnia, Lack of Appetite, Fatigue, Headaches","Alien Abduction,Relaxed, Happy, Creative, Focused,Earthy, Nutty, Lemon,Depression, Insomnia, Lack of Appetite, Fatigue, Headaches"
Alien Apparition,hybrid,"Berry, Blueberry, Citrus","Hungry, Euphoric, Creative, Aroused",Dry Mouth,"Depression, Cramps, Fatigue, Headaches, Eye Pressure","Alien Apparition,Hungry, Euphoric, Creative, Aroused,Berry, Blueberry, Citrus,Depression, Cramps, Fatigue, Headaches, Eye Pressure"
Alien Asshat,hybrid,"Citrus, Pungent, Lemon","Euphoric, Happy, Creative, Energetic, Giggly","Dizzy, Dry Mouth","Depression, Pain, Stress, Nausea, Fatigue","Alien Asshat,Euphoric, Happy, Creative, Energetic, Giggly,Citrus, Pungent, Lemon,Depression, Pain, Stress, Nausea, Fatigue"
Alien Bubba,indica,"Earthy, Ammonia, Diesel","Relaxed, Euphoric, Sleepy, Focused, Giggly","Dizzy, Dry Mouth","Depression, Insomnia, Pain, Stress, Lack of Appetite","Alien Bubba,Relaxed, Euphoric, Sleepy, Focused, Giggly,Earthy, Ammonia, Diesel,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Alien Dawg,indica,"Earthy, Pungent, Spicy/Herbal","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Insomnia, Pain, Stress, Nausea, Fatigue","Alien Dawg,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Earthy, Pungent, Spicy/Herbal,Insomnia, Pain, Stress, Nausea, Fatigue"
Alien Dutchess,sativa,"Berry, Lemon, Sweet","Relaxed, Euphoric, Happy, Uplifted, Focused",Not Available,"Depression, Insomnia, Pain, Stress, Lack of Appetite","Alien Dutchess,Relaxed, Euphoric, Happy, Uplifted, Focused,Berry, Lemon, Sweet,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Alien Hallucination,hybrid,"Chemical, Diesel, Earthy","Relaxed, Euphoric, Happy, Uplifted",Not Available,"Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms","Alien Hallucination,Relaxed, Euphoric, Happy, Uplifted,Chemical, Diesel, Earthy,Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms"
Alien Inferno,hybrid,"Pine, Diesel, Earthy","Euphoric, Happy, Creative, Energetic, Talkative",Not Available,"Depression, Pain, Stress, Lack of Appetite, Fatigue","Alien Inferno,Euphoric, Happy, Creative, Energetic, Talkative,Pine, Diesel, Earthy,Depression, Pain, Stress, Lack of Appetite, Fatigue"
Alien Kush,indica,"Woody, Flowery, Earthy","Relaxed, Euphoric, Uplifted, Sleepy, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Headaches","Alien Kush,Relaxed, Euphoric, Uplifted, Sleepy, Giggly,Woody, Flowery, Earthy,Depression, Insomnia, Pain, Stress, Headache, Headaches"
Alien OG,hybrid,"Lemon, Flowery, Earthy","Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Muscle Spasms","Alien OG,Relaxed, Euphoric, Happy, Uplifted, Focused,Lemon, Flowery, Earthy,Depression, Insomnia, Pain, Stress, Muscle Spasms"
Alien Reunion,hybrid,"Skunk, Diesel, Pungent","Relaxed, Euphoric, Happy, Creative, Uplifted",Not Available,"Pain, Lack of Appetite, Headaches, Inflammation, Muscle Spasms","Alien Reunion,Relaxed, Euphoric, Happy, Creative, Uplifted,Skunk, Diesel, Pungent,Pain, Lack of Appetite, Headaches, Inflammation, Muscle Spasms"
Alien Rift,indica,"Earthy, Chemical, Citrus","Relaxed, Hungry, Euphoric, Happy, Creative",Dry Mouth,"Depression, Insomnia, Pain, Stress, Headaches","Alien Rift,Relaxed, Hungry, Euphoric, Happy, Creative,Earthy, Chemical, Citrus,Depression, Insomnia, Pain, Stress, Headaches"
Alien Rock Candy,hybrid,"Sweet, Earthy, Citrus","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite","Alien Rock Candy,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Sweet, Earthy, Citrus,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Alien Sour Apple,hybrid,"Apple, Orange, Ammonia","Relaxed, Euphoric, Happy, Creative, Uplifted",Not Available,"Depression, Stress, Lack of Appetite, Muscle Spasms","Alien Sour Apple,Relaxed, Euphoric, Happy, Creative, Uplifted,Apple, Orange, Ammonia,Depression, Stress, Lack of Appetite, Muscle Spasms"
Alien Stardawg,sativa,"Earthy, Pungent, Rose","Euphoric, Happy, Creative, Uplifted",Dry Mouth,"Depression, Stress, Lack of Appetite","Alien Stardawg,Euphoric, Happy, Creative, Uplifted,Earthy, Pungent, Rose,Depression, Stress, Lack of Appetite"
Alien Technology,indica,"Spicy/Herbal, Chemical, Woody","Relaxed, Happy, Uplifted, Giggly",Dry Mouth,"Depression, Pain, Stress, Headaches","Alien Technology,Relaxed, Happy, Uplifted, Giggly,Spicy/Herbal, Chemical, Woody,Depression, Pain, Stress, Headaches"
Aliens On Moonshine,indica,"Berry, Butter, Citrus","Relaxed, Happy, Tingly, Focused",Not Available,"Depression, Stress, Headaches, Inflammation","Aliens On Moonshine,Relaxed, Happy, Tingly, Focused,Berry, Butter, Citrus,Depression, Stress, Headaches, Inflammation"
Allen Wrench,sativa,"Berry, Tropical, Mango","Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Nausea","Allen Wrench,Euphoric, Happy, Creative, Energetic, Uplifted,Berry, Tropical, Mango,Depression, Pain, Stress, Lack of Appetite, Nausea"
Allkush,indica,"Honey, Spicy/Herbal, Earthy","Relaxed, Happy, Sleepy",Dry Eyes,"Pain, Stress, Eye Pressure","Allkush,Relaxed, Happy, Sleepy,Honey, Spicy/Herbal, Earthy,Pain, Stress, Eye Pressure"
Aloha,sativa,"Tropical, Sweet, Citrus","Relaxed, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Fatigue, Headaches","Aloha,Relaxed, Happy, Creative, Energetic, Uplifted,Tropical, Sweet, Citrus,Depression, Pain, Stress, Fatigue, Headaches"
Aloha Limone,hybrid,"Citrus, Earthy, Pungent","Relaxed, Happy, Creative, Energetic, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress","Aloha Limone,Relaxed, Happy, Creative, Energetic, Uplifted,Citrus, Earthy, Pungent,Depression, Pain, Stress"
Alohaberry,hybrid,"Berry, Sweet, Citrus","Relaxed, Euphoric, Happy, Energetic, Giggly","Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Nausea, Fatigue","Alohaberry,Relaxed, Euphoric, Happy, Energetic, Giggly,Berry, Sweet, Citrus,Depression, Pain, Stress, Nausea, Fatigue"
Alpha Blue,sativa,"Blueberry, Sweet, Berry","Relaxed, Happy, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Stress, Lack of Appetite, Fatigue","Alpha Blue,Relaxed, Happy, Energetic, Uplifted, Focused,Blueberry, Sweet, Berry,Depression, Insomnia, Stress, Lack of Appetite, Fatigue"
Alpha Express,sativa,"Spicy/Herbal, Nutty, Tea","Happy, Creative, Energetic, Uplifted, Focused",Dry Mouth,"Depression, Cramps, Fatigue, Headaches, Inflammation","Alpha Express,Happy, Creative, Energetic, Uplifted, Focused,Spicy/Herbal, Nutty, Tea,Depression, Cramps, Fatigue, Headaches, Inflammation"
Alpha OG,hybrid,"Berry, Earthy, Tea","Relaxed, Hungry, Euphoric, Happy, Creative","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Fatigue","Alpha OG,Relaxed, Hungry, Euphoric, Happy, Creative,Berry, Earthy, Tea,Depression, Insomnia, Pain, Stress, Fatigue"
Alpine Blue,hybrid,"Berry, Blueberry, Pine","Euphoric, Creative, Energetic, Uplifted, Aroused",Not Available,"Depression, Pain, Stress, Inflammation, Muscle Spasms","Alpine Blue,Euphoric, Creative, Energetic, Uplifted, Aroused,Berry, Blueberry, Pine,Depression, Pain, Stress, Inflammation, Muscle Spasms"
Alpine Star,indica,"Pine, Earthy, Lemon","Relaxed, Euphoric, Happy, Creative, Uplifted",Dry Mouth,"Depression, Insomnia, Pain, Stress, Fatigue","Alpine Star,Relaxed, Euphoric, Happy, Creative, Uplifted,Pine, Earthy, Lemon,Depression, Insomnia, Pain, Stress, Fatigue"
Ambrosia,hybrid,"Earthy, Tropical, Butter","Relaxed, Hungry, Euphoric, Happy, Tingly","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue","Ambrosia,Relaxed, Hungry, Euphoric, Happy, Tingly,Earthy, Tropical, Butter,Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue"
American Dream,hybrid,"Earthy, Sweet, Pungent","Relaxed, Euphoric, Happy, Creative, Focused","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Inflammation","American Dream,Relaxed, Euphoric, Happy, Creative, Focused,Earthy, Sweet, Pungent,Depression, Insomnia, Pain, Stress, Inflammation"
American Kush,indica,"Sweet, Lemon, Lime","Relaxed, Happy, Tingly, Sleepy","Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Headaches, Muscle Spasms","American Kush,Relaxed, Happy, Tingly, Sleepy,Sweet, Lemon, Lime,Insomnia, Pain, Stress, Headaches, Muscle Spasms"
Americano,indica,"Earthy, Diesel, Spicy/Herbal","Relaxed, Euphoric, Creative, Focused, Aroused",Not Available,"Pain, Nausea, Headaches","Americano,Relaxed, Euphoric, Creative, Focused, Aroused,Earthy, Diesel, Spicy/Herbal,Pain, Nausea, Headaches"
Amnesia,sativa,"Earthy, Sweet, Citrus","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches","Amnesia,Relaxed, Euphoric, Happy, Energetic, Uplifted,Earthy, Sweet, Citrus,Depression, Pain, Stress, Lack of Appetite, Headache, Headaches"
Amnesia Haze,sativa,"Citrus, Lemon, Earthy","Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Fatigue, Headaches","Amnesia Haze,Euphoric, Happy, Creative, Energetic, Uplifted,Citrus, Lemon, Earthy,Depression, Pain, Stress, Headache, Fatigue, Headaches"
Ancient Kush,indica,"Cheese, Skunk, Citrus","Relaxed, Creative, Energetic, Sleepy, Aroused",Not Available,"Pain, Stress, Lack of Appetite, Headaches","Ancient Kush,Relaxed, Creative, Energetic, Sleepy, Aroused,Cheese, Skunk, Citrus,Pain, Stress, Lack of Appetite, Headaches"
Ancient OG,indica,"Earthy, Diesel, Nutty","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Headaches","Ancient OG,Relaxed, Hungry, Euphoric, Happy, Sleepy,Earthy, Diesel, Nutty,Depression, Insomnia, Pain, Stress, Headaches"
Anesthesia,indica,"Sweet, Earthy, Pungent","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Insomnia, Pain, Stress, Headache, Headaches, Inflammation","Anesthesia,Relaxed, Hungry, Euphoric, Happy, Sleepy,Sweet, Earthy, Pungent,Insomnia, Pain, Stress, Headache, Headaches, Inflammation"
Angel OG,indica,"Pungent, Earthy, Berry","Relaxed, Euphoric, Happy, Sleepy",Dry Mouth,"Insomnia, Pain, Stress","Angel OG,Relaxed, Euphoric, Happy, Sleepy,Pungent, Earthy, Berry,Insomnia, Pain, Stress"
Animal Cookies,hybrid,"Sweet, Earthy, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Fatigue","Animal Cookies,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Sweet, Earthy, Pungent,Depression, Insomnia, Pain, Stress, Fatigue"
Anonymous OG,indica,"Earthy, Pungent, Citrus","Relaxed, Euphoric, Happy, Sleepy, Aroused",Dry Mouth,"Insomnia, Fatigue, Headaches, Eye Pressure, Inflammation","Anonymous OG,Relaxed, Euphoric, Happy, Sleepy, Aroused,Earthy, Pungent, Citrus,Insomnia, Fatigue, Headaches, Eye Pressure, Inflammation"
Ape Shit,hybrid,"Grape, Sweet, Lavender","Relaxed, Euphoric, Happy, Creative, Giggly",Dry Mouth,"Depression, Insomnia, Stress, Lack of Appetite, Eye Pressure","Ape Shit,Relaxed, Euphoric, Happy, Creative, Giggly,Grape, Sweet, Lavender,Depression, Insomnia, Stress, Lack of Appetite, Eye Pressure"
Apollo 11,hybrid,"Pungent, Cheese, Citrus","Relaxed, Euphoric, Happy, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Headaches","Apollo 11,Relaxed, Euphoric, Happy, Uplifted,Pungent, Cheese, Citrus,Depression, Insomnia, Pain, Stress, Headache, Headaches"
Apollo 13,hybrid,"Earthy, Sweet, Woody","Relaxed, Euphoric, Happy, Energetic, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Fatigue, Headaches","Apollo 13,Relaxed, Euphoric, Happy, Energetic, Giggly,Earthy, Sweet, Woody,Depression, Pain, Stress, Headache, Fatigue, Headaches"
Appalachia,hybrid,"Pungent, Earthy, Woody","Relaxed, Hungry, Euphoric, Happy, Creative",Dry Eyes,"Pain, Cramps, Lack of Appetite, Inflammation, Muscle Spasms","Appalachia,Relaxed, Hungry, Euphoric, Happy, Creative,Pungent, Earthy, Woody,Pain, Cramps, Lack of Appetite, Inflammation, Muscle Spasms"
Appalachian Power,sativa,"Tropical, Grape, Citrus","Euphoric, Happy, Creative, Energetic, Focused",Not Available,,"Appalachian Power,Euphoric, Happy, Creative, Energetic, Focused,Tropical, Grape, Citrus,"
Apple Jack,hybrid,"Apple, Pungent, Skunk","Euphoric, Happy, Creative, Talkative, Uplifted","Dizzy, Dry Eyes, Anxious","Depression, Stress, Nausea, Fatigue, Muscle Spasms","Apple Jack,Euphoric, Happy, Creative, Talkative, Uplifted,Apple, Pungent, Skunk,Depression, Stress, Nausea, Fatigue, Muscle Spasms"
Apple Kush,hybrid,"Apple, Diesel, Sweet","Relaxed, Euphoric, Happy, Tingly","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Eye Pressure","Apple Kush,Relaxed, Euphoric, Happy, Tingly,Apple, Diesel, Sweet,Depression, Insomnia, Pain, Stress, Eye Pressure"
Appleberry,indica,"Berry, Earthy, Flowery","Relaxed, Sleepy, Focused",Not Available,"Depression, Stress, Lack of Appetite, Headaches, Muscle Spasms","Appleberry,Relaxed, Sleepy, Focused,Berry, Earthy, Flowery,Depression, Stress, Lack of Appetite, Headaches, Muscle Spasms"
Arctic Sun,hybrid,"Ammonia, Skunk","Relaxed, Hungry, Euphoric, Creative, Energetic",Not Available,Stress,"Arctic Sun,Relaxed, Hungry, Euphoric, Creative, Energetic,Ammonia, Skunk,Stress"
ArcticBlue,hybrid,"Blueberry, Sweet, Earthy","Relaxed, Happy, Creative, Energetic, Focused",Dry Mouth,"Pain, Stress, Lack of Appetite, Inflammation, Spasticity","ArcticBlue,Relaxed, Happy, Creative, Energetic, Focused,Blueberry, Sweet, Earthy,Pain, Stress, Lack of Appetite, Inflammation, Spasticity"
Area 51,hybrid,"Sweet, Earthy, Citrus","Relaxed, Happy, Talkative, Uplifted, Giggly",Dry Mouth,"Depression, Pain, Stress, Cramps, Fatigue","Area 51,Relaxed, Happy, Talkative, Uplifted, Giggly,Sweet, Earthy, Citrus,Depression, Pain, Stress, Cramps, Fatigue"
Argyle,indica,"Earthy, Woody, Citrus","Relaxed, Happy, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Cramps, Fatigue","Argyle,Relaxed, Happy, Energetic, Uplifted, Focused,Earthy, Woody, Citrus,Depression, Pain, Stress, Cramps, Fatigue"
Arjan's Strawberry Haze,sativa,"Strawberry, Sweet, Earthy","Relaxed, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Headache, Fatigue, Muscle Spasms","Arjan's Strawberry Haze,Relaxed, Happy, Energetic, Uplifted,Strawberry, Sweet, Earthy,Depression, Insomnia, Pain, Headache, Fatigue, Muscle Spasms"
Arjan's Ultra Haze #1,sativa,"Mint, Pepper, Spicy/Herbal","Relaxed, Happy, Energetic, Uplifted, Focused","Dry Mouth, Dry Eyes","Stress, Lack of Appetite, Fatigue, Headaches, Muscle Spasms","Arjan's Ultra Haze #1,Relaxed, Happy, Energetic, Uplifted, Focused,Mint, Pepper, Spicy/Herbal,Stress, Lack of Appetite, Fatigue, Headaches, Muscle Spasms"
Armageddon,hybrid,"Citrus, Earthy, Pungent","Relaxed, Euphoric, Happy, Talkative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Stress, Lack of Appetite, Fatigue, Headaches","Armageddon,Relaxed, Euphoric, Happy, Talkative, Uplifted,Citrus, Earthy, Pungent,Depression, Stress, Lack of Appetite, Fatigue, Headaches"
Armagnac,hybrid,"Earthy, Skunk, Flowery","Relaxed, Euphoric, Sleepy, Aroused","Dizzy, Dry Mouth","Insomnia, Stress","Armagnac,Relaxed, Euphoric, Sleepy, Aroused,Earthy, Skunk, Flowery,Insomnia, Stress"
Ash,hybrid,"Earthy, Pine, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headache, Eye Pressure","Ash,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Earthy, Pine, Pungent,Depression, Pain, Stress, Lack of Appetite, Headache, Eye Pressure"
Asian Fantasy,sativa,"Earthy, Skunk, Woody","Relaxed, Hungry, Euphoric, Happy, Talkative","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Pain, Stress, Lack of Appetite, Headache, Headaches, Eye Pressure","Asian Fantasy,Relaxed, Hungry, Euphoric, Happy, Talkative,Earthy, Skunk, Woody,Pain, Stress, Lack of Appetite, Headache, Headaches, Eye Pressure"
Aspen OG,hybrid,"Spicy/Herbal, Skunk, Earthy","Relaxed, Hungry, Happy, Talkative, Focused",Not Available,"Depression, Stress, Fatigue, Headaches, Inflammation","Aspen OG,Relaxed, Hungry, Happy, Talkative, Focused,Spicy/Herbal, Skunk, Earthy,Depression, Stress, Fatigue, Headaches, Inflammation"
Astroboy,sativa,"Citrus, Sweet, Grapefruit","Happy, Creative, Energetic, Tingly, Focused",Not Available,"Depression, Pain, Fatigue, Headaches, Muscle Spasms","Astroboy,Happy, Creative, Energetic, Tingly, Focused,Citrus, Sweet, Grapefruit,Depression, Pain, Fatigue, Headaches, Muscle Spasms"
Athabasca,indica,"Earthy, Ammonia, Apple","Relaxed, Happy, Talkative, Uplifted",Dry Mouth,"Depression, Stress, Fatigue, Headaches, Seizures","Athabasca,Relaxed, Happy, Talkative, Uplifted,Earthy, Ammonia, Apple,Depression, Stress, Fatigue, Headaches, Seizures"
Atmosphere,hybrid,"Flowery, Citrus, Earthy","Relaxed, Euphoric, Creative, Uplifted, Tingly","Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Nausea","Atmosphere,Relaxed, Euphoric, Creative, Uplifted, Tingly,Flowery, Citrus, Earthy,Depression, Insomnia, Stress, Lack of Appetite, Nausea"
Atomic Goat,hybrid,"Nutty, Sweet, Earthy","Relaxed, Happy, Energetic, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Headaches, Muscle Spasms","Atomic Goat,Relaxed, Happy, Energetic, Uplifted,Nutty, Sweet, Earthy,Depression, Pain, Stress, Headaches, Muscle Spasms"
Atomic Northern Lights,hybrid,"Earthy, Skunk, Pungent","Relaxed, Hungry, Euphoric, Happy, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Nausea, Headache, Headaches","Atomic Northern Lights,Relaxed, Hungry, Euphoric, Happy, Uplifted,Earthy, Skunk, Pungent,Depression, Insomnia, Pain, Nausea, Headache, Headaches"
Atomical Haze,sativa,"Minty, Nutty, Pine","Relaxed, Hungry, Happy, Creative, Focused","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Nausea, Eye Pressure","Atomical Haze,Relaxed, Hungry, Happy, Creative, Focused,Minty, Nutty, Pine,Depression, Pain, Stress, Nausea, Eye Pressure"
Aurora Borealis,indica,"Sweet, Earthy, Skunk","Relaxed, Happy, Energetic, Talkative, Uplifted",Dry Mouth,"Insomnia, Pain, Stress, Lack of Appetite, Headaches","Aurora Borealis,Relaxed, Happy, Energetic, Talkative, Uplifted,Sweet, Earthy, Skunk,Insomnia, Pain, Stress, Lack of Appetite, Headaches"
Aurora Indica,indica,"Earthy, Pine, Citrus","Relaxed, Euphoric, Happy, Sleepy, Aroused","Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Muscle Spasms","Aurora Indica,Relaxed, Euphoric, Happy, Sleepy, Aroused,Earthy, Pine, Citrus,Depression, Insomnia, Pain, Stress, Muscle Spasms"
Avalon,hybrid,"Earthy, Nutty, Sweet","Hungry, Uplifted, Tingly, Giggly, Aroused","Dizzy, Dry Mouth, Paranoid","Insomnia, Pain, Stress, Nausea, Headache","Avalon,Hungry, Uplifted, Tingly, Giggly, Aroused,Earthy, Nutty, Sweet,Insomnia, Pain, Stress, Nausea, Headache"
Avi,hybrid,"Earthy, Pungent","Relaxed, Happy, Creative, Energetic, Focused",Dry Mouth,"Depression, Insomnia, Fatigue, Inflammation, Muscle Spasms","Avi,Relaxed, Happy, Creative, Energetic, Focused,Earthy, Pungent,Depression, Insomnia, Fatigue, Inflammation, Muscle Spasms"
Avi-Dekel,hybrid,"Earthy, Woody, Sweet","Relaxed, Euphoric, Happy, Uplifted, Aroused","Dizzy, Dry Mouth, Anxious","Depression, Pain, Stress, Headache, Fatigue, Inflammation","Avi-Dekel,Relaxed, Euphoric, Happy, Uplifted, Aroused,Earthy, Woody, Sweet,Depression, Pain, Stress, Headache, Fatigue, Inflammation"
