name,type,flavors,positive_effects,negative_effects,ailment,search
Jolly Rancher,hybrid,"Sweet, Pungent, Flowery","Relaxed, Euphoric, Happy, Tingly, Giggly","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Nausea, Headaches","Jolly Rancher,Relaxed, Euphoric, Happy, Tingly, Giggly,Sweet, Pungent, Flowery,Depression, Pain, Stress, Nausea, Headaches"
Josh D OG,indica,"Berry, Blueberry, Blue Cheese",Aroused,"Paranoid, Anxious","Depression, Cramps, Fatigue","Josh D OG,Aroused,Berry, Blueberry, Blue Cheese,Depression, Cramps, Fatigue"
Jr,indica,"Earthy, Pungent, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite","Jr,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Earthy, Pungent, Sweet,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Juicy Fruit,hybrid,"Sweet, Tropical, Citrus","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Fatigue","Juicy Fruit,Relaxed, Euphoric, Happy, Energetic, Uplifted,Sweet, Tropical, Citrus,Depression, Insomnia, Pain, Stress, Headache, Fatigue"
Juicy Jack,hybrid,"Sweet, Earthy, Citrus","Euphoric, Happy, Creative, Energetic, Uplifted","Dry Mouth, Paranoid","Depression, Insomnia, Pain, Stress, Headache, Fatigue","Juicy Jack,Euphoric, Happy, Creative, Energetic, Uplifted,Sweet, Earthy, Citrus,Depression, Insomnia, Pain, Stress, Headache, Fatigue"
Juliet,hybrid,"Spicy/Herbal, Pine, Earthy","Relaxed, Euphoric, Happy, Energetic, Focused","Dizzy, Dry Mouth","Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms","Juliet,Relaxed, Euphoric, Happy, Energetic, Focused,Spicy/Herbal, Pine, Earthy,Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms"
Julius Caesar,hybrid,"Sweet, Flowery, Tropical","Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Nausea","Julius Caesar,Relaxed, Euphoric, Happy, Uplifted, Focused,Sweet, Flowery, Tropical,Depression, Pain, Stress, Lack of Appetite, Nausea"
Jungle Juice,hybrid,"Flowery, Citrus, Woody","Relaxed, Happy, Creative, Energetic, Sleepy",Not Available,"Depression, Stress, Lack of Appetite, Fatigue, Headaches","Jungle Juice,Relaxed, Happy, Creative, Energetic, Sleepy,Flowery, Citrus, Woody,Depression, Stress, Lack of Appetite, Fatigue, Headaches"
Jupiter OG,indica,"Pungent, Sweet, Flowery","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Insomnia, Pain, Lack of Appetite, Nausea, Headache, Headaches","Jupiter OG,Relaxed, Hungry, Euphoric, Happy, Sleepy,Pungent, Sweet, Flowery,Insomnia, Pain, Lack of Appetite, Nausea, Headache, Headaches"
K-Train,indica,"Earthy, Citrus, Tree Fruit","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Cramps, Headache","K-Train,Relaxed, Euphoric, Happy, Creative, Uplifted,Earthy, Citrus, Tree Fruit,Depression, Insomnia, Pain, Stress, Cramps, Headache"
K1,hybrid,"Ammonia, Pepper, Pine","Happy, Energetic, Uplifted, Focused, Giggly",Not Available,"Depression, Pain, Stress, Fatigue, Headaches","K1,Happy, Energetic, Uplifted, Focused, Giggly,Ammonia, Pepper, Pine,Depression, Pain, Stress, Fatigue, Headaches"
K2,hybrid,"Earthy, Citrus, Sweet","Relaxed, Hungry, Happy, Sleepy","Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Nausea, Headache","K2,Relaxed, Hungry, Happy, Sleepy,Earthy, Citrus, Sweet,Depression, Insomnia, Pain, Stress, Nausea, Headache"
KC 33,hybrid,"Lemon, Citrus, Sweet","Relaxed, Hungry, Euphoric, Happy, Focused",Not Available,"Pain, Stress, Headaches, Eye Pressure, Inflammation","KC 33,Relaxed, Hungry, Euphoric, Happy, Focused,Lemon, Citrus, Sweet,Pain, Stress, Headaches, Eye Pressure, Inflammation"
KC 36,indica,"Blueberry, Grape, Lavender","Relaxed, Uplifted, Sleepy","Dry Mouth, Dry Eyes","Depression, Stress, Fatigue","KC 36,Relaxed, Uplifted, Sleepy,Blueberry, Grape, Lavender,Depression, Stress, Fatigue"
KT Dawg,hybrid,"Woody, Citrus, Sweet","Relaxed, Happy, Creative, Uplifted, Tingly",Dry Mouth,"Pain, Stress, Inflammation","KT Dawg,Relaxed, Happy, Creative, Uplifted, Tingly,Woody, Citrus, Sweet,Pain, Stress, Inflammation"
Kaboom,sativa,"Pine, Earthy, Lemon","Happy, Energetic, Talkative, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Nausea, Headache, Fatigue","Kaboom,Happy, Energetic, Talkative, Uplifted, Focused,Pine, Earthy, Lemon,Depression, Pain, Stress, Nausea, Headache, Fatigue"
Kahuna,indica,"Orange, Pineapple, Pungent","Relaxed, Euphoric, Creative, Uplifted, Focused","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Fatigue","Kahuna,Relaxed, Euphoric, Creative, Uplifted, Focused,Orange, Pineapple, Pungent,Depression, Insomnia, Pain, Stress, Fatigue"
Kaia Kush,hybrid,"Spicy/Herbal, Earthy, Flowery","Relaxed, Happy, Creative, Energetic, Uplifted","Dry Mouth, Dry Eyes","Depression, Stress, Lack of Appetite, Nausea, Headaches","Kaia Kush,Relaxed, Happy, Creative, Energetic, Uplifted,Spicy/Herbal, Earthy, Flowery,Depression, Stress, Lack of Appetite, Nausea, Headaches"
Kalalau Kush,hybrid,"Earthy, Mango, Pineapple","Euphoric, Happy, Energetic, Tingly, Aroused",Not Available,,"Kalalau Kush,Euphoric, Happy, Energetic, Tingly, Aroused,Earthy, Mango, Pineapple,"
Kalashnikova,hybrid,"Sweet, Flowery, Earthy","Euphoric, Happy, Talkative, Uplifted, Focused",Dry Mouth,"Depression, Insomnia, Pain, Stress, Headache, Fatigue","Kalashnikova,Euphoric, Happy, Talkative, Uplifted, Focused,Sweet, Flowery, Earthy,Depression, Insomnia, Pain, Stress, Headache, Fatigue"
Kali 47,sativa,"Sweet, Vanilla","Euphoric, Happy, Creative, Energetic, Uplifted",Not Available,"Depression, Fatigue, Headaches, Inflammation, Muscle Spasms","Kali 47,Euphoric, Happy, Creative, Energetic, Uplifted,Sweet, Vanilla,Depression, Fatigue, Headaches, Inflammation, Muscle Spasms"
Kali China,indica,"Earthy, Mango, Minty","Relaxed, Euphoric, Happy, Creative, Sleepy",Not Available,"Depression, Insomnia, Pain, Stress, Nausea","Kali China,Relaxed, Euphoric, Happy, Creative, Sleepy,Earthy, Mango, Minty,Depression, Insomnia, Pain, Stress, Nausea"
Kali Dog,hybrid,"Citrus, Earthy, Lemon","Relaxed, Happy, Energetic, Uplifted, Sleepy",Dry Eyes,"Pain, Stress, Lack of Appetite, Headaches, Eye Pressure","Kali Dog,Relaxed, Happy, Energetic, Uplifted, Sleepy,Citrus, Earthy, Lemon,Pain, Stress, Lack of Appetite, Headaches, Eye Pressure"
Kali Mist,sativa,"Earthy, Citrus, Sweet","Happy, Creative, Energetic, Uplifted, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms","Kali Mist,Happy, Creative, Energetic, Uplifted, Focused,Earthy, Citrus, Sweet,Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms"
Kandahar,indica,"Earthy, Apricot, Honey","Relaxed, Euphoric, Sleepy, Giggly","Dizzy, Dry Mouth","Depression, Insomnia, Pain, Stress","Kandahar,Relaxed, Euphoric, Sleepy, Giggly,Earthy, Apricot, Honey,Depression, Insomnia, Pain, Stress"
Kandy Kush,hybrid,"Sweet, Citrus, Lemon","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Fatigue","Kandy Kush,Relaxed, Euphoric, Happy, Creative, Uplifted,Sweet, Citrus, Lemon,Depression, Insomnia, Pain, Stress, Headache, Fatigue"
